LoyaltyID,Customer ID,Gender,Age,Under 30,Senior Citizen,Partner,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn
200315,0002-ORFBO,Female,37,No,No,Yes,Yes,0,Yes,2,9,Yes,42.39,No,Yes,Cable,16,No,Yes,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,65.6,593.3,0,0,381.51,974.81,No
278817,0003-MKNFE,Male,46,No,No,No,No,0,No,0,9,Yes,10.69,Yes,Yes,Cable,10,No,No,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,59.9,542.4,38.33,10,96.21,610.28,No
192691,0004-TLHLJ,Male,50,No,No,No,No,0,No,0,4,Yes,33.65,No,Yes,Fiber Optic,30,No,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,73.9,280.85,0,0,134.6,415.45,Yes
318845,0011-IGKFF,Male,78,No,Yes,Yes,No,0,Yes,1,13,Yes,27.82,No,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,98,1237.85,0,0,361.66,1599.51,Yes
508649,0013-EXCHZ,Female,75,No,Yes,Yes,No,0,Yes,3,3,Yes,7.38,No,Yes,Fiber Optic,11,No,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,83.9,267.4,0,0,22.14,289.54,Yes
203243,0013-MHZWF,Female,23,Yes,No,No,Yes,3,No,0,9,Yes,16.77,No,Yes,Cable,73,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,0,0,150.93,722.38,No
152486,0013-SMEOE,Female,67,No,Yes,Yes,No,0,Yes,1,71,Yes,9.96,No,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,0,0,707.16,8611.41,No
248461,0014-BMAQU,Male,52,No,No,Yes,No,0,Yes,8,63,Yes,12.96,Yes,Yes,Fiber Optic,7,Yes,No,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),84.65,5377.8,0,20,816.48,6214.28,No
997780,0015-UOCOJ,Female,68,No,Yes,No,No,0,No,0,7,Yes,10.53,No,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,48.2,340.35,0,0,73.71,414.06,No
990233,0016-QLJIS,Female,43,No,No,Yes,Yes,1,Yes,3,65,Yes,28.46,Yes,Yes,Cable,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,0,0,1849.9,7807.8,No
232175,0017-DINOC,Male,47,No,No,No,No,0,No,0,54,No,0,No phone service,Yes,Cable,10,Yes,No,No,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),45.2,2460.55,0,0,0,2460.55,No
709605,0017-IUDMW,Female,25,Yes,No,Yes,Yes,2,Yes,2,72,Yes,16.01,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.8,8456.75,0,0,1152.72,9609.47,No
673767,0018-NYROU,Female,58,No,No,Yes,No,0,No,0,5,Yes,18.65,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,68.95,351.5,0,0,93.25,444.75,No
325660,0019-EFAEP,Female,32,No,No,No,No,0,No,0,72,Yes,2.25,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),101.3,7261.25,0,0,162,7423.25,No
836443,0019-GFNTW,Female,39,No,No,No,No,0,No,0,56,No,0,No phone service,Yes,DSL,19,Yes,Yes,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),45.05,2560.1,0,0,0,2560.1,No
683288,0020-INWCK,Female,58,No,No,Yes,Yes,2,Yes,9,71,Yes,27.26,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),95.75,6849.4,0,0,1935.46,8784.86,No
766766,0020-JDNXP,Female,52,No,No,Yes,Yes,1,No,0,34,No,0,No phone service,Yes,DSL,20,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,61.25,1993.2,0,0,0,1993.2,No
642199,0021-IKXGC,Female,72,No,Yes,No,No,0,No,0,1,Yes,7.77,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,72.1,72.1,0,0,7.77,79.87,No
692622,0022-TCJCI,Male,79,No,Yes,No,No,0,No,0,45,Yes,10.67,No,Yes,DSL,17,Yes,No,Yes,No,No,Yes,No,Yes,One year,No,Credit card (automatic),62.7,2791.5,0,0,480.15,3271.65,Yes
999912,0023-HGHWL,Male,67,No,Yes,No,No,0,No,0,1,No,0,No phone service,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,25.1,25.1,0,0,0,25.1,Yes
450866,0023-UYUPN,Female,79,No,Yes,Yes,No,0,No,0,50,Yes,31.43,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,One year,No,Electronic check,25.2,1306.3,0,0,1571.5,2877.8,No
894652,0023-XUOPT,Female,26,Yes,No,Yes,No,0,Yes,1,13,Yes,43.56,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,94.1,1215.6,0,0,566.28,1781.88,Yes
497281,0027-KWYKW,Female,30,No,No,Yes,Yes,2,Yes,1,23,Yes,34.91,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,83.75,1849.95,0,0,802.93,2652.88,No
579990,0030-FNXPP,Female,22,Yes,No,No,No,0,No,0,3,Yes,3.12,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.85,57.2,0,0,9.36,66.56,No
469021,0031-PVLZI,Female,34,No,No,Yes,Yes,0,No,0,4,Yes,12.43,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.35,76.35,0,0,49.72,126.07,Yes
910511,0032-PGELS,Female,37,No,No,Yes,Yes,1,Yes,1,1,No,0,No phone service,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),30.5,30.5,0,0,0,30.5,Yes
132250,0036-IHMOT,Female,37,No,No,Yes,Yes,3,Yes,10,55,Yes,35.04,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),103.7,5656.75,0,20,1927.2,7603.95,No
427626,0040-HALCW,Male,42,No,No,Yes,Yes,3,Yes,3,54,Yes,19.7,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),20.4,1090.6,0,0,1063.8,2154.4,No
240881,0042-JVWOJ,Male,64,No,No,No,No,0,No,0,26,Yes,37.7,No,No,No Internet,0,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.6,471.85,21.25,0,980.2,1430.8,No
175194,0042-RLHYP,Female,47,No,No,Yes,Yes,3,Yes,5,69,Yes,38.39,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),19.7,1396.9,0,0,2648.91,4045.81,No
752424,0048-LUMLS,Male,23,Yes,No,Yes,Yes,3,Yes,1,37,Yes,43.01,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),91.2,3247.55,0,0,1591.37,4838.92,No
657294,0048-PIHNL,Female,48,No,No,Yes,No,0,Yes,5,49,Yes,49.58,No,No,No Internet,0,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20.45,900.9,0,0,2429.42,3330.32,No
263690,0052-DCKON,Male,28,Yes,No,Yes,No,0,Yes,9,66,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),115.8,7942.15,0,0,2888.82,10830.97,No
368391,0052-YNYOT,Female,28,Yes,No,No,No,0,No,0,67,Yes,23.12,No,No,No Internet,0,No,No,No,No,No,No,No,No,One year,No,Electronic check,20.55,1343.4,30.53,0,1549.04,2861.91,No
494013,0056-EPFBG,Male,33,No,No,Yes,Yes,1,Yes,4,20,No,0,No phone service,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),39.4,825.4,0,0,0,825.4,No
538680,0057-QBUQH,Female,31,No,No,No,Yes,3,No,0,43,Yes,30.64,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check,25.1,1070.15,0,0,1317.52,2387.67,No
824883,0058-EVZWM,Female,37,No,No,Yes,No,0,Yes,2,55,Yes,5.08,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.8,4959.6,0,0,279.4,5239,No
103699,0060-FUALY,Female,60,No,No,Yes,No,0,Yes,4,59,Yes,16.39,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.75,5597.65,0,0,967.01,6564.66,No
674807,0064-SUDOG,Female,48,No,No,Yes,Yes,3,Yes,3,12,Yes,19.28,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two year,No,Bank transfer (automatic),20.3,224.5,0,0,231.36,455.86,No
899444,0064-YIJGF,Male,60,No,No,Yes,Yes,3,Yes,7,27,Yes,25.26,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),75.75,1929,0,0,682.02,2611.02,No
271641,0067-DKWBL,Male,69,No,Yes,No,No,0,No,0,2,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49.25,91.1,0,0,87.98,179.08,Yes
804368,0068-FIGTF,Female,20,Yes,No,No,No,0,No,0,27,Yes,48.91,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,78.2,2078.95,0,0,1320.57,3399.52,No
329513,0071-NDAFP,Male,31,No,No,Yes,Yes,3,Yes,1,25,Yes,23.69,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.5,630.6,44.42,0,592.25,1178.43,No
854133,0074-HDKDG,Male,46,No,No,Yes,Yes,0,Yes,5,25,Yes,6.45,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One year,Yes,Bank transfer (automatic),61.6,1611,44.9,0,161.25,1727.35,No
182006,0076-LVEPS,Male,57,No,No,No,Yes,1,No,0,29,No,0,No phone service,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,45,1242.45,12.26,0,0,1230.19,No
304430,0078-XZMHT,Male,19,Yes,No,Yes,No,0,Yes,5,72,Yes,32.36,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),85.15,6316.2,0,0,2329.92,8646.12,No
348994,0080-EMYVY,Female,64,No,No,No,No,0,No,0,14,Yes,24.04,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes,One year,No,Credit card (automatic),51.45,727.85,0,0,336.56,1064.41,No
104368,0080-OROZO,Female,38,No,No,No,No,0,No,0,35,Yes,36.42,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532,0,0,1274.7,4806.7,No
320533,0082-LDZUE,Male,54,No,No,No,No,0,No,0,1,Yes,42.95,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,44.3,44.3,0,0,42.95,87.25,No
561847,0082-OQIQY,Male,50,No,No,No,No,0,No,0,29,Yes,2.05,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,94.2,2607.6,0,20,59.45,2687.05,No
460900,0083-PIVIK,Male,25,Yes,No,No,No,0,No,0,64,Yes,5.49,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,81.25,5567.55,0,40,351.36,5958.91,No
641686,0089-IIQKO,Female,35,No,No,Yes,Yes,3,Yes,1,39,Yes,24.38,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.95,3767.4,0,0,950.82,4718.22,No
389429,0093-EXYQL,Female,72,No,Yes,No,No,0,No,0,40,Yes,44.14,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,91.55,3673.6,0,0,1765.6,5439.2,No
963028,0093-XWZFY,Male,51,No,No,No,No,0,No,0,40,Yes,37.69,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),104.5,4036.85,0,0,1507.6,5544.45,Yes
663573,0094-OIFMO,Female,78,No,Yes,No,No,1,No,0,11,Yes,11.59,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,95,1120.3,0,120,127.49,1367.79,Yes
611058,0096-BXERS,Female,30,No,No,Yes,No,0,Yes,10,6,Yes,42.66,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,50.35,314.55,0,0,255.96,570.51,No
403985,0096-FCPUF,Male,58,No,No,No,No,0,No,0,30,Yes,2.64,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,64.5,1888.45,0,0,79.2,1967.65,No
642976,0098-BOWSO,Male,26,Yes,No,No,No,0,No,0,27,Yes,20.66,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.4,529.8,0,0,557.82,1087.62,No
290362,0100-DUVFC,Male,66,No,Yes,Yes,No,0,Yes,3,70,Yes,39.49,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,104.8,7308.95,6.11,0,2764.3,10067.14,No
